हॅलो	O
हॅलो	O
दत्ता	O
सर	O
बोलताय	O
का	O
हा	O
बोलतोय	O
अ	B-filler_R
मला	O
बँकविषयी	O
माहिती	O
द्या	O
ना	O
थोडीशी	O
अ	B-filler_R
बँकेविषयी	O
अ	B-filler_R
कोणत्या	O
संदर्भात	O
सरकारी	O
बँक	O
की	O
प्रायव्हेट	O
बँक	O
बँक	O
म्हणजे	O
आपले	O
सर्व	O
सरकारी	O
किंवा	O
प्रायव्हेट	O
असतात	O
ना	O
हा	O
हा	O
तर	O
अ	B-filler_R
अं	I-filler_R
मोठ्या	O
सरकारी	O
बँका	O
आहेत	O
आपल्याकडं	O
अ	B-filler_R
एसबीआय	O
परत	O
ते	O
अं	B-filler_R
अ	I-filler_R
बऱ्याच	O
आणखी	O
आहेत	O
सरकारी	O
बँका	O
हा	O
त्याच्यामध्ये	O
अ	B-filler_R
आता	O
बँकेत	O
आपण	O
काय	O
काय	O
करू	O
शकतो	O
बँकेत	B-repair_R
आपले	I-repair_R
अ	B-filler_R
बँकेतून	B-Alteration
आपले	I-Alteration
आर्थिक	O
व्यवहार	O
होतात	O
पैशाचे	O
अ	B-filler_R
त्याच्यामध्ये	O
अ	B-filler_R
पैशे	O
अकाऊंट	O
काढून	O
जर	O
पैशे	O
जर	O
आपण	O
फिरवा	O
फिरव	O
केली	O
तर	O
आपले	O
क्रेडीट	O
वाढते	O
आपल्याला	O
बँकेकडून	O
लोन	O
भेटते	O
हा	O
त्याच्यामुळं	O
सेव्हिंग	O
अकाऊंट	O
वगैरे	O
असतयं	O
चालू	O
अकाऊंट	O
असतयं	O
धंद्यासाठी	O
चालू	O
अकाऊंट	O
काढतात	O
अं	B-filler_R
सेव्हिंग	O
अकाऊंट	O
हे	O
पर्सनल	O
अकाऊंट	O
असतयं	O
आपलं	O
सेव्हिंग	O
अ	B-filler_R
अ	I-filler_R
पैशे	O
ठेवण्यासाठी	O
बँकेत	O
अकाऊंट	O
काढणं	O
गरजेचचं	O
असतं	O
का	O
बँकेत	O
अकाऊंट	O
असलेलं	O
चांगलंच	O
हाय	O
ना	O
म्हणजे	O
अकाउंट	O
असलं	O
तर	O
अ	B-filler_R
आपल्याला	O
फायदा	O
होऊ	O
शकतो	O
काय	O
फायदाच	O
होतो	O
त्याचा	O
अ	B-filler_R
आपले	O
ग	B-filler_R
अ	I-filler_R
पैशे	O
जर	O
जरा	O
जास्त	O
असतील	O
तर	O
आपल्याला	O
व्याज	O
मिळतं	O
बँकेकडून	O
त्या	O
ठेवीवरती	O
परत	O
आपल्याला	O
लोन	O
मिळू	O
शकतं	O
भविष्यात	O
आपल्याला	O
जर	O
आणखी	O
पैशाची	O
गरज	O
पडली	O
तर	O
आपल्याला	O
लोन	O
मिळतं	O
आपली	O
अ	B-filler_R
अ	I-filler_R
क्रेडिट	O
आणि	O
आपले	O
व्यवहार	O
बघून	O
आपल्याला	O
बँक	O
लोन	O
देते	O
ना	O
परत	O
हा	O
कुठल्या	O
बँकेचं	O
अकाऊंट	O
काढणं	O
चांगलं	O
असतं	O
महत्वाचं	O
महत्वाचं	O
म्हणजे	O
बघणं	O
की	O
नॅशनलाइज	O
बँक	O
आहे	O
का	O
ज्या	B-repeat_R
ज्या	O
बँकेचं	O
पूर्ण	O
