
तो	B-repeat_R
तो	B-Alteration
final	O
year	O
ही	O
चल	O
रहा	O
है	O
ओर	O
competition	O
की	O
तैयारी	O
,	O

okay	O
मतलब	O
किस	O
चीज	O
की	O
तैयारी	O
चल	O
रही	O
है	O
आपकी	O
?	O

नहीं	B-false_R
covid	I-false_R
माफ	B-edit_R
कीजिये	I-edit_R
मतलब	I-edit_R
अभी	O
तो	O
cet	O
के	O
exam	O
की	O
,	O

मतलब	O
क्या	O
होता	O
है	O
cet	O
के	O
exam	O
में	O
?	O

हाँ	O
,	O
cet	O
के	O
exam	O
में	O
इतने	O
option	O
होते	O
हैं	O
जैसे	O
teacher	O
के	O
base	O
पे	O
teacher	O
का	O
हुआ	O
ये	O
मतलब	O
government	O
बहुत	O
सारे	O
इसमें	O
option	O
होते	O
है	O
जिसमें	O
से	O
अगर	O
,	O
exam	O
दिया	O
और	O
अच्छे	O
percentage	O
आ	O
गयी	O
मतलब	O
बन	O
गयी	O
ना	O
तो	O
option	O
के	O
according	O
किसी	O
एक	O
में	O
job	O
मिल	O
जाती	O
है	O
,	O

हां	O
तो	B-pet_R
,	O
अच्छा	O
मतलब	O
ये	O
वो	O
exam	O
तो	O
तो	B-pet_R
नहीं	O
तो	B-pet_R
है	O
जो	O
अभी	O
government	O
ने	O
तो	B-pet_R
i	O
think	O
compulsory	O
कर	O
दिया	O
है	O
कि	O
government	O
तो	B-pet_R
exam	O
देना	O
है	O
तो	B-pet_R
उससे	O
पहले	O
ये	O
आपको	O
clear	O
ही	O
करना	O
पड़ेगा	O
,	O

हाँ	O
,	O
हां	O
वही	O
है	O
ये	O
feb	O
में	O
है	O
इसका	O
exam	O
अभी	O
हाँ	O
ये	O
twelfth	O
base	O
पे	O
भी	O
है	O
,	O
इसमें	O
ऐसे	O
thirty	O
है	O
negative	O
marking	O
भी	O
है	O
इसमें	O
हां	O
,	O

अच्छा	O
तो	O
मतलब	O
कितने	O
marks	O
लाना	O
जरूरी	O
है	O
?	O

मतलब	O
hundred	O
में	O
?	O
okay	O
hundred	O
में	O
से	O
thirty	O
ला	O
सकते	O
हो	O
आप	O
eligible	O
हो	O
government	O
paper	O
देने	O
के	O
लिए	O
,	O

हां	O
कोई	O
भी	O
competition	O
मतलब	O
teacher	O
का	O
ही	O
हुआ	O
मानों	O
उसके	O
लिए	O
आपको	O
कम	O
से	O
कम	O
thirty	O
तो	O
होने	O
ही	O
होने	O
चाहिए	O
।	O

अगर	O
इससे	O
ऊपर	O
होगे	O
ज्यादा	O
तो	O
फिर	O
अच्छे	O
भी	O
है	O
उसपे	O
,	O

,	O

अच्छे	O
post	O
अ	B-filler_R
पे	O
